year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
29,0.9999999999794421,0.46145450537191357,0.2599008353054129,0.30360346505703295,0.004832313450880532,0.1573706478338569,0.00285977701912854
30,0.9999999999794421,0.4685033457187239,0.26553010863659776,0.31271836443259526,0.007578852354039323,0.16377977672680488,0.004268316894375679
31,0.9999999999794421,0.4765300121738772,0.2715023748609194,0.32309769684193745,0.012099681161891529,0.17057941528807885,0.006428227919096141
32,0.9999999999794421,0.4838766310454799,0.2788943029616909,0.3325976554834419,0.018649525992056826,0.17899538963823136,0.00993141336450254
33,0.9999999999794421,0.49242042255204155,0.2857135614253455,0.34364568551909636,0.028513892618912573,0.18675935913776998,0.014520627052844515
34,0.9999999999794421,0.4985971520424414,0.2912265144840598,0.3516328529118916,0.040759607761428285,0.19303605324291073,0.019970641455285376
35,0.9999999999794421,0.5075280248915518,0.29519940222785085,0.3631814202435979,0.058353551532741466,0.19755932794092723,0.02599445150765578
36,0.9999999999794421,0.512399218534902,0.3032276532004174,0.3694803910974497,0.07698040639484927,0.20669977862451205,0.0360043339972016
37,0.9999999999794421,0.521167187621537,0.3077333419469725,0.38081830655880455,0.10202151533004788,0.21182966630791933,0.04490480666304597
38,0.9999999999794421,0.5255233651361249,0.3145064703392786,0.38645130684735873,0.12539802360397934,0.21954111507241492,0.0566956910050459
39,0.9999999999794421,0.5328516556459943,0.318273696450481,0.3959275649700973,0.1530342210702288,0.2238302366508288,0.06634185088348787
40,0.9999999999794421,0.5374379447290752,0.3253624476660211,0.40185812396175336,0.17738544287503966,0.2319010332807866,0.07955137646215837
41,0.9999999999794421,0.5438119277419562,0.3288215588252465,0.4101003611136056,0.20278220357780696,0.2358393549735167,0.08866077257376581
42,0.9999999999794421,0.5493774008545639,0.33541983620360943,0.4172971090753851,0.22512589213148593,0.24335172960899154,0.10092860766084066
43,0.9999999999794421,0.5567550339338069,0.3403060013136566,0.42683717238204666,0.2477900111495992,0.24891480323148485,0.11057221468692591
44,0.9999999999794421,0.5604774970659748,0.3443173664690284,0.4316507126538598,0.2625009357455932,0.25348188583787223,0.1184376238407906
45,0.9999999999794421,0.5655899090822175,0.34844288936976386,0.4382616044887917,0.2770679514366441,0.2581789411176624,0.12579699747427653
46,0.9999999999794421,0.5700134496899629,0.35285689388075964,0.4439817124128643,0.2886640596917117,0.26320444302184376,0.1329885871379819
47,0.9999999999794421,0.5767380908652393,0.35814098419895096,0.4526773878195496,0.3025199553207899,0.2692205687167274,0.1409080253875178
