year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
78.5,0.9999999999794421,0.7043525179505397,0.44433441083498515,0.6585525346066827,0.5219968921649625,0.43434562155220224,0.32385558533340963
79.0,0.9999999999794421,0.7051951155137347,0.44625869312508837,0.659525662469248,0.5233475021087992,0.4363044952416133,0.32618634343943376
79.5,0.9999999999794421,0.7071790647626751,0.44799672178670036,0.661816953562873,0.5265275986349814,0.43807376715882806,0.3282915046272654
80.0,0.9999999999794421,0.7091630140116155,0.44973475044831235,0.6641082446564981,0.5297076951611638,0.43984303907604216,0.3303966658150965
80.5,0.9999999999794421,0.7095128970954924,0.45099702645311274,0.6645123295867577,0.5302685270373826,0.4411280060828555,0.33192557872218964
81.0,0.9999999999794421,0.7098627801793692,0.4522593024579131,0.6649164145170172,0.5308293589136018,0.442412973089669,0.3334544916292823
81.5,0.9999999999794421,0.7107341705405275,0.4545659175699991,0.6659227955898495,0.5322261211855944,0.44476105251538534,0.3362483446401554
82.0,0.9999999999794421,0.7116055609016858,0.4568725326820851,0.6669291766626809,0.5336228834575872,0.447109131941102,0.3390421976510285
82.5,0.9999999999794421,0.7130954127011842,0.45832468300934326,0.6686498276122127,0.5360109851364186,0.4485873865006149,0.34080109298765915
83.0,0.9999999999794421,0.7145852645006825,0.4597768333366014,0.6703704785617444,0.5383990868152501,0.4500656410601276,0.3425599883242899
83.5,0.9999999999794421,0.7162587597084891,0.4609244213602194,0.6723032218851528,0.5410815527602688,0.45123385842475805,0.3439499871317324
84.0,0.9999999999794421,0.7179322549162955,0.4620720093838373,0.6742359652085617,0.5437640187052871,0.45240207578938685,0.3453399859391736
84.5,0.9999999999794421,0.7201082454012435,0.46576057787563757,0.6767490474462431,0.5472519404784297,0.4561569509484721,0.3498077092852273
85.0,0.9999999999794421,0.7222842358861916,0.46944914636743784,0.6792621296839249,0.5507398622515722,0.45991182610755743,0.3542754326312815
85.5,0.9999999999794421,0.7226863220849512,0.469925995233491,0.6797265047311087,0.5513843711393798,0.46039724693294337,0.3548530086790468
86.0,0.9999999999794421,0.7230884082837108,0.47040284409954414,0.6801908797782928,0.5520288800271872,0.4608826677583284,0.3554305847268112
86.5,0.9999999999794421,0.7234386383727749,0.4732895556291664,0.6805953654697594,0.552590268122267,0.46382127156577313,0.35892707083595854
87.0,0.9999999999794421,0.723788868461839,0.47617626715878864,0.6809998511612261,0.5531516562173465,0.46675987537321806,0.3624235569451052
87.5,0.9999999999794421,0.7258067647587712,0.47690982423191997,0.6833303481814942,0.5563861668821214,0.46750661905922886,0.36331206696425666
88.0,0.9999999999794421,0.7278246610557033,0.47764338130505135,0.6856608452017626,0.5596206775468964,0.4682533627452403,0.3642005769834089
88.5,0.9999999999794421,0.7283445035467091,0.4782151646837159,0.6862612186590804,0.5604539394363788,0.4688354246507461,0.36489314103784454
89.0,0.9999999999794421,0.728864346037715,0.4787869480623804,0.6868615921163986,0.5612872013258617,0.4694174865562517,0.36558570509227994
89.5,0.9999999999794421,0.7302533232659844,0.4811684700546807,0.6884657415945574,0.563513609920197,0.47184181940775805,0.3684702879400146
90.0,0.9999999999794421,0.7316423004942537,0.483549992046981,0.6900698910727165,0.5657400185145319,0.47426615225926505,0.3713548707877493
90.5,0.9999999999794421,0.7335479150336964,0.48493709856552203,0.6922707123005978,0.5687945513763786,0.4756781937656255,0.3730349827851609
91.0,0.9999999999794421,0.7354535295731391,0.4863242050840631,0.694471533528479,0.5718490842382249,0.4770902352719856,0.37471509478257314
91.5,0.9999999999794421,0.7370305833002955,0.48789549972740087,0.6962928952196265,0.574376962953878,0.4786897759168155,0.3766183018877618
92.0,0.9999999999794421,0.7386076370274517,0.4894667943707387,0.6981142569107744,0.5769048416695308,0.4802893165616453,0.37852150899295034
92.5,0.9999999999794421,0.7384694454849463,0.49128306015821854,0.6979546575406159,0.5766833327551752,0.4821382320156665,0.3807214337278181
93.0,0.9999999999794421,0.738331253942441,0.4930993259456984,0.697795058170458,0.5764618238408202,0.4839871474696874,0.38292135846268427
